url,dispositivo,score,fcp_chrux (ms),fcp_chrux_score,fid_chrux (ms),fid_chrux_score,lcp_chrux (ms),lcp_chrux_score,cls_chrux,cls_chrux_score,fcp_lighthouse (ms),fcp_lighthouse_score,lcp_lighthouse (ms),lcp_lighthouse_score,cls_lighthouse,cls_lighthouse_score,max_potential_fid (ms),max_potential_fid_score,tbt (ms),tbt_score,speed_index (ms),speed_index_score,tti (ms),tti_score,total_size (KB),total,js_size (KB),js,fonts_size (KB),fonts,img_size (KB),img,others_size (KB),others,html_size (KB),html,css_size (KB),css,media_size (KB),media,third_party_size (KB),third_party
https://www.bcr.ro/ro/aur/locatii-cumparare-aur,mobile,0.73,1091,FAST,-,-,1788,FAST,0.03,FAST,2678.0,0.61,4421.5,0.39,0.0,1.0,173,0.76,249.5,0.85,3246.7,0.92,5152.5,0.75,702.84,68,353.83,35,172.98,4,95.4,15,32.36,10,29.99,1,18.28,3,0.0,0,652.69,66
https://www.bcr.ro/ro/aur/locatii-cumparare-aur,desktop,0.96,1655,FAST,-,-,2188,FAST,0.0,FAST,780.0,0.96,1003.5,0.95,0.002,1.0,69,0.99,9.5,1.0,1595.1,0.8,1269.0,1.0,847.55,84,406.11,47,275.06,6,97.1,17,21.01,10,29.99,1,18.28,3,0.0,0,817.56,83
https://www.bcr.ro/ro/aur,mobile,0.33,1292,FAST,14,FAST,1916,FAST,0.03,FAST,3660.0,0.31,5138.0,0.25,0.0,1.0,1221,0.0,5588.5,0.0,4833.9,0.67,11333.5,0.2,842.94,66,330.16,29,275.06,6,149.28,16,36.52,11,33.63,1,18.28,3,0.0,0,789.15,64
https://www.bcr.ro/ro/aur,desktop,0.96,1700,FAST,4,FAST,2191,FAST,0.01,FAST,772.0,0.96,1200.0,0.9,0.035,1.0,86,0.98,33.0,1.0,1448.7,0.85,1306.5,1.0,876.0,88,414.08,47,229.28,5,159.71,22,21.01,10,33.64,1,18.28,3,0.0,0,842.36,87
https://www.bcr.ro/ro/aur/precizari-legale,mobile,0.67,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,2683.0,0.61,5809.0,0.15,0.0,1.0,153,0.83,216.0,0.88,3536.6,0.88,5409.5,0.72,703.22,68,353.83,35,172.98,4,95.42,15,32.35,10,30.36,1,18.28,3,0.0,0,652.68,66
https://www.bcr.ro/ro/aur/precizari-legale,desktop,0.93,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,780.0,0.96,1480.0,0.81,0.002,1.0,86,0.98,33.5,1.0,1447.6,0.85,1246.0,1.0,849.92,84,406.12,47,275.06,6,99.08,17,21.02,10,30.36,1,18.28,3,0.0,0,819.56,83
https://www.bcr.ro/ro/business,mobile,0.53,981,FAST,23,FAST,2433,FAST,0.14,AVERAGE,2979.0,0.51,6435.0,0.1,0.252,0.5,154,0.83,264.5,0.83,4655.3,0.7,6531.5,0.59,979.29,90,416.09,43,275.06,6,195.07,24,43.95,13,30.84,1,18.28,3,0.0,0,924.24,87
https://www.bcr.ro/ro/business,desktop,0.78,1586,FAST,4,FAST,2763,AVERAGE,0.06,FAST,823.0,0.94,1887.5,0.67,0.151,0.76,150,0.84,179.0,0.84,2176.6,0.55,1983.5,0.96,1446.28,109,498.28,60,275.06,6,598.79,28,25.05,11,30.83,1,18.28,3,0.0,0,1411.44,107
https://www.bcr.ro/ro/business/digital-banking,mobile,0.44,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,3510.0,0.35,6450.0,0.1,0.012,1.0,248,0.51,628.0,0.48,7430.1,0.28,6272.0,0.62,804.27,77,379.21,39,275.06,6,69.58,18,32.38,10,29.76,1,18.28,3,0.0,0,754.35,75
https://www.bcr.ro/ro/business/digital-banking,desktop,0.44,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,999.0,0.87,2612.5,0.44,0.027,1.0,384,0.2,1398.5,0.02,3857.3,0.12,3517.5,0.7,853.78,94,431.49,51,275.06,6,78.14,23,21.04,10,29.76,1,18.28,3,0.0,0,824.02,93
https://www.bcr.ro/ro/business/fonduri-nerambursabile/finantari-europene-por2_2,mobile,0.31,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,2610.0,0.64,10740.5,0.0,0.0,1.0,397,0.18,1470.5,0.15,6877.2,0.34,12033.0,0.16,2888.56,131,668.33,66,273.06,7,1791.33,35,74.46,16,39.89,2,20.09,4,21.38,1,2838.99,129
https://www.bcr.ro/ro/business/fonduri-nerambursabile/finantari-europene-por2_2,desktop,0.78,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,740.0,0.97,2684.0,0.42,0.001,1.0,113,0.94,134.0,0.93,2093.3,0.58,2724.0,0.86,2105.13,153,754.6,84,283.58,7,926.6,40,58.98,15,39.89,2,20.09,4,21.39,1,2075.72,152
https://www.bcr.ro/ro/business/fonduri-nerambursabile/fonduri-nerambursabile-pentru-dezvoltare-rurala,mobile,0.55,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,3013.0,0.5,5085.0,0.26,0.017,1.0,245,0.52,551.0,0.54,5584.5,0.54,5827.0,0.67,721.56,66,326.43,31,218.75,5,90.19,15,36.54,11,31.36,1,18.28,3,0.0,0,670.02,64
https://www.bcr.ro/ro/business/fonduri-nerambursabile/fonduri-nerambursabile-pentru-dezvoltare-rurala,desktop,0.94,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,739.0,0.97,1320.0,0.87,0.001,1.0,65,1.0,9.5,1.0,1635.6,0.78,1185.0,1.0,877.08,88,434.0,52,229.28,5,143.12,17,21.04,10,31.36,1,18.28,3,0.0,0,845.72,87
https://www.bcr.ro/ro/business/fonduri-nerambursabile/granturi-nerambursabile-imm,mobile,0.32,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,2705.0,0.6,11823.0,0.0,0.0,1.0,378,0.21,1305.0,0.18,6808.7,0.35,11929.0,0.17,3370.0,126,668.22,66,329.37,8,2218.6,30,71.11,15,41.23,2,20.09,4,21.39,1,3317.37,124
https://www.bcr.ro/ro/business/fonduri-nerambursabile/granturi-nerambursabile-imm,desktop,0.79,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,790.0,0.95,2651.0,0.43,0.009,1.0,75,0.99,47.0,1.0,2334.2,0.49,2368.0,0.91,2099.68,151,780.09,88,283.58,7,897.73,35,55.57,14,41.23,2,20.09,4,21.39,1,2067.23,150
https://www.bcr.ro/ro/business/fonduri-nerambursabile/programul-electric-up,mobile,0.55,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,2683.0,0.61,4560.0,0.36,0.004,1.0,237,0.54,463.5,0.62,6028.7,0.46,11590.5,0.18,2893.0,128,666.11,65,329.36,8,1743.73,32,73.02,16,39.3,2,20.09,4,21.39,1,2843.26,126
https://www.bcr.ro/ro/business/fonduri-nerambursabile/programul-electric-up,desktop,0.89,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,820.0,0.94,1480.0,0.81,0.005,1.0,84,0.98,81.0,0.99,2008.8,0.62,2843.0,0.84,2149.9,151,754.56,84,329.36,8,927.62,37,57.54,15,39.33,2,20.09,4,21.39,1,2120.31,150
https://www.bcr.ro/ro/business/formular-transmitere-asigurari,mobile,0.56,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,3330.0,0.4,4858.0,0.3,0.0,1.0,296,0.37,596.5,0.5,3730.0,0.85,6071.0,0.64,778.32,75,407.22,41,229.28,5,58.43,14,36.54,11,28.58,1,18.28,3,0.0,0,729.59,73
https://www.bcr.ro/ro/business/formular-transmitere-asigurari,desktop,0.95,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,820.0,0.94,1260.0,0.88,0.001,1.0,70,0.99,10.0,1.0,1501.4,0.83,1207.5,1.0,873.11,93,489.4,58,275.06,6,40.76,15,21.04,10,28.58,1,18.28,3,0.0,0,844.53,92
https://www.bcr.ro/ro/business/general,mobile,0.63,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,3020.0,0.49,3715.0,0.58,0.0,1.0,313,0.33,570.0,0.52,5254.6,0.59,5686.5,0.69,646.85,65,335.4,32,172.98,4,58.44,14,36.54,11,25.21,1,18.28,3,0.0,0,601.48,63
https://www.bcr.ro/ro/business/general,desktop,0.95,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,740.0,0.97,1046.0,0.94,0.001,1.0,65,1.0,25.5,1.0,1768.3,0.73,1415.0,0.99,760.9,82,424.35,48,229.28,5,42.73,15,21.04,10,25.22,1,18.28,3,0.0,0,735.68,81
https://www.bcr.ro/ro/business/general/conturi-si-servicii,mobile,0.69,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,2610.0,0.64,3360.0,0.68,0.0,1.0,274,0.43,610.5,0.49,3654.0,0.86,5473.5,0.71,646.89,65,335.4,32,172.98,4,58.46,14,36.54,11,25.24,1,18.28,3,0.0,0,601.48,63
https://www.bcr.ro/ro/business/general/conturi-si-servicii,desktop,0.93,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,740.0,0.97,1139.5,0.92,0.001,1.0,121,0.92,119.5,0.95,1774.3,0.72,1590.0,0.99,760.92,82,424.38,48,229.28,5,42.73,15,21.04,10,25.21,1,18.28,3,0.0,0,735.71,81
https://www.bcr.ro/ro/business/general/conturi-si-servicii/carduri-de-debit,mobile,0.22,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,3360.0,0.39,9523.0,0.01,0.0,1.0,1034,0.0,7537.5,0.0,10299.6,0.09,11909.5,0.17,719.7,71,353.83,35,218.76,5,66.35,17,32.38,10,30.1,1,18.28,3,0.0,0,669.44,69
https://www.bcr.ro/ro/business/general/conturi-si-servicii/carduri-de-debit,desktop,0.94,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,726.0,0.97,1420.0,0.83,0.012,1.0,55,1.0,2.5,1.0,1521.3,0.83,1195.0,1.0,839.13,93,431.46,51,229.28,5,108.97,23,21.03,10,30.11,1,18.28,3,0.0,0,809.02,92
https://www.bcr.ro/ro/business/general/conturi-si-servicii/colectare-si-transport-de-numerar,mobile,0.58,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,3210.0,0.43,4371.0,0.4,0.0,1.0,272,0.43,621.5,0.48,3283.2,0.91,7450.0,0.48,771.46,81,380.62,34,218.76,5,83.99,22,40.3,16,29.52,1,18.28,3,0.0,0,696.61,69
https://www.bcr.ro/ro/business/general/conturi-si-servicii/colectare-si-transport-de-numerar,desktop,0.92,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,780.0,0.96,1580.0,0.78,0.01,1.0,67,1.0,25.0,1.0,1587.2,0.8,1706.0,0.98,968.32,110,493.64,58,275.06,6,127.04,27,24.78,15,29.52,1,18.28,3,0.0,0,911.96,99
https://www.bcr.ro/ro/business/general/conturi-si-servicii/Conturi,mobile,0.6,1388,FAST,-,-,3117,AVERAGE,0.1,FAST,2998.0,0.5,5745.0,0.16,0.0,1.0,210,0.63,392.0,0.69,3892.9,0.83,5485.0,0.71,675.75,69,353.82,35,172.98,4,67.18,16,32.38,10,31.12,1,18.28,3,0.0,0,624.47,67
https://www.bcr.ro/ro/business/general/conturi-si-servicii/Conturi,desktop,0.94,2336,AVERAGE,-,-,3058,AVERAGE,0.0,FAST,733.0,0.97,1440.0,0.83,0.018,1.0,58,1.0,4.0,1.0,1516.9,0.83,1158.0,1.0,815.22,91,431.47,51,229.28,5,84.04,21,21.04,10,31.12,1,18.28,3,0.0,0,784.1,90
https://www.bcr.ro/ro/business/general/conturi-si-servicii/internet-banking/george,mobile,0.65,1712,FAST,17,FAST,3421,AVERAGE,0.15,AVERAGE,2910.0,0.53,5838.0,0.15,0.095,0.91,128,0.91,215.0,0.88,3754.8,0.85,5596.0,0.7,734.63,68,332.24,30,218.75,5,91.76,18,36.51,11,37.09,1,18.28,3,0.0,0,677.38,66
https://www.bcr.ro/ro/business/general/conturi-si-servicii/internet-banking/george,desktop,0.93,2615,AVERAGE,4,FAST,3815,AVERAGE,0.0,FAST,780.0,0.96,1457.5,0.82,0.003,1.0,57,1.0,3.5,1.0,1734.5,0.74,1237.0,1.0,876.74,92,439.82,51,275.06,6,85.46,21,21.01,10,37.11,1,18.28,3,0.0,0,839.63,91
https://www.bcr.ro/ro/business/general/conturi-si-servicii/managementul-riscurilor,mobile,0.71,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,3278.0,0.41,4069.0,0.48,0.025,1.0,260,0.47,305.0,0.79,3335.9,0.91,5652.5,0.69,708.87,64,340.54,30,229.28,5,58.43,14,36.54,11,25.82,1,18.28,3,0.0,0,662.9,62
https://www.bcr.ro/ro/business/general/conturi-si-servicii/managementul-riscurilor,desktop,0.92,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,775.0,0.96,1510.0,0.8,0.034,1.0,65,1.0,9.0,1.0,1856.5,0.69,1179.0,1.0,794.4,87,455.3,52,229.28,5,44.65,16,21.04,10,25.84,1,18.28,3,0.0,0,768.55,86
https://www.bcr.ro/ro/business/general/conturi-si-servicii/managementul-riscurilor/riscul-valutar,mobile,0.26,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,3510.0,0.35,7195.5,0.05,0.436,0.22,284,0.4,1325.0,0.18,4285.7,0.76,7065.0,0.53,848.91,82,420.14,46,275.06,6,71.98,15,36.54,11,26.92,1,18.28,3,0.0,0,801.81,80
https://www.bcr.ro/ro/business/general/conturi-si-servicii/managementul-riscurilor/riscul-valutar,desktop,0.83,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,780.0,0.96,1549.0,0.79,0.312,0.38,81,0.99,57.0,1.0,1660.8,0.77,1500.5,0.99,871.53,96,489.65,59,229.28,5,86.36,18,21.04,10,26.92,1,18.28,3,0.0,0,844.6,95
https://www.bcr.ro/ro/business/general/conturi-si-servicii/managementul-riscurilor/riscuri-comerciale,mobile,0.63,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,2610.0,0.64,6135.0,0.12,0.017,1.0,181,0.74,316.0,0.77,3536.8,0.88,5678.5,0.69,781.67,69,344.23,32,275.06,6,80.78,16,36.54,11,26.78,1,18.28,3,0.0,0,734.73,67
https://www.bcr.ro/ro/business/general/conturi-si-servicii/managementul-riscurilor/riscuri-comerciale,desktop,0.84,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,820.0,0.94,1555.5,0.79,0.255,0.49,74,0.99,47.5,1.0,1608.4,0.79,1549.0,0.99,911.48,94,459.0,54,275.06,6,111.32,20,21.04,10,26.78,1,18.28,3,0.0,0,884.7,93
https://www.bcr.ro/ro/business/general/conturi-si-servicii/plati-digitale,mobile,0.67,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,3305.0,0.4,4273.0,0.43,0.0,1.0,216,0.61,378.0,0.71,3305.0,0.91,5707.0,0.68,704.95,65,330.16,29,218.75,5,74.38,16,36.54,11,26.83,1,18.28,3,0.0,0,657.93,63
https://www.bcr.ro/ro/business/general/conturi-si-servicii/plati-digitale,desktop,0.54,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,780.0,0.96,1872.5,0.68,0.005,1.0,496,0.09,1306.5,0.02,2533.5,0.41,3017.0,0.8,774.99,82,412.34,46,229.28,5,67.23,17,21.04,10,26.83,1,18.28,3,0.0,0,748.16,81
https://www.bcr.ro/ro/business/general/conturi-si-servicii/servicii-conexe,mobile,0.67,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,2910.0,0.53,5792.5,0.16,0.012,1.0,171,0.77,213.5,0.89,3674.0,0.86,5435.0,0.72,712.33,68,335.08,32,218.76,5,76.65,16,36.54,11,27.02,1,18.28,3,0.0,0,665.13,66
https://www.bcr.ro/ro/business/general/conturi-si-servicii/servicii-conexe,desktop,0.93,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,740.0,0.97,1480.0,0.81,0.001,1.0,80,0.99,28.0,1.0,1660.8,0.77,1228.0,1.0,803.1,87,429.37,51,229.28,5,78.13,17,21.04,10,27.0,1,18.28,3,0.0,0,776.1,86
https://www.bcr.ro/ro/business/general/conturi-si-servicii/solutii-de-plata-si-colectare,mobile,0.61,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,3286.0,0.41,5860.5,0.15,0.0,1.0,203,0.66,347.5,0.74,3706.3,0.86,5617.0,0.7,714.86,68,335.09,32,218.76,5,75.5,16,36.54,11,30.69,1,18.28,3,0.0,0,664.01,66
https://www.bcr.ro/ro/business/general/conturi-si-servicii/solutii-de-plata-si-colectare,desktop,0.93,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,700.0,0.98,1500.0,0.81,0.007,1.0,61,1.0,8.5,1.0,1704.6,0.75,1222.0,1.0,871.11,86,417.28,49,229.28,5,154.52,18,21.04,10,30.72,1,18.28,3,0.0,0,840.39,85
https://www.bcr.ro/ro/business/general/conturi-si-servicii/trade-finance,mobile,0.31,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,3360.0,0.39,6980.0,0.06,0.0,1.0,565,0.06,1904.5,0.09,7644.1,0.26,7147.5,0.52,718.37,71,353.83,35,218.76,5,65.61,17,32.38,10,29.51,1,18.28,3,0.0,0,668.7,69
https://www.bcr.ro/ro/business/general/conturi-si-servicii/trade-finance,desktop,0.73,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,742.0,0.97,1718.0,0.73,0.019,1.0,172,0.77,347.0,0.51,2205.3,0.54,1766.5,0.98,825.06,93,431.47,51,229.28,5,95.47,23,21.04,10,29.51,1,18.28,3,0.0,0,795.54,92
https://www.bcr.ro/ro/business/general/finantare,mobile,0.71,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,2910.0,0.53,3660.0,0.6,0.0,1.0,195,0.69,349.5,0.74,4994.2,0.64,5638.5,0.69,646.81,65,335.38,32,172.97,4,58.43,14,36.54,11,25.22,1,18.28,3,0.0,0,601.44,63
https://www.bcr.ro/ro/business/general/finantare,desktop,0.94,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,740.0,0.97,1148.0,0.91,0.001,1.0,82,0.99,56.5,1.0,1804.1,0.71,1403.5,0.99,760.92,82,424.37,48,229.28,5,42.73,15,21.04,10,25.22,1,18.28,3,0.0,0,735.7,81
https://www.bcr.ro/ro/business/general/finantare/programe-speciale-de-finantare,mobile,0.37,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,3210.0,0.43,6932.5,0.07,0.0,1.0,423,0.15,1625.0,0.12,4645.0,0.7,7031.0,0.53,720.24,67,335.09,32,218.76,5,83.54,15,36.54,11,28.04,1,18.28,3,0.0,0,672.05,65
https://www.bcr.ro/ro/business/general/finantare/programe-speciale-de-finantare,desktop,0.44,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,940.5,0.9,2609.5,0.44,0.001,1.0,284,0.4,1308.5,0.02,3682.0,0.14,3693.5,0.66,945.24,86,417.28,49,275.06,6,185.54,17,21.04,10,28.04,1,18.28,3,0.0,0,917.2,85
https://www.bcr.ro/ro/business/general/finantare/supply-chain-finance/factoring,mobile,0.56,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,2910.0,0.53,6060.0,0.13,0.001,1.0,271,0.44,492.5,0.59,4382.9,0.75,5605.5,0.7,716.82,70,353.83,35,218.76,5,64.0,16,32.38,10,29.58,1,18.28,3,0.0,0,667.06,68
https://www.bcr.ro/ro/business/general/finantare/supply-chain-finance/factoring,desktop,0.93,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,780.0,0.96,1460.0,0.82,0.012,1.0,79,0.99,32.5,1.0,1641.6,0.78,1259.0,1.0,844.19,92,431.49,51,275.06,6,68.77,21,21.04,10,29.56,1,18.28,3,0.0,0,814.63,91
https://www.bcr.ro/ro/business/informatii-utile,mobile,0.65,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,2910.0,0.53,3660.0,0.6,0.0,1.0,316,0.32,637.0,0.47,3212.6,0.92,5849.5,0.67,724.56,70,359.59,36,218.75,5,58.45,14,36.54,11,32.96,1,18.28,3,0.0,0,671.43,68
https://www.bcr.ro/ro/business/informatii-utile,desktop,0.57,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,900.0,0.91,1335.0,0.86,0.001,1.0,255,0.48,1331.5,0.02,2699.8,0.36,3444.5,0.72,831.88,88,441.81,53,275.06,6,42.73,15,21.04,10,32.96,1,18.28,3,0.0,0,798.92,87
https://www.bcr.ro/ro/organizatii-publice-si-non-profit,mobile,0.52,1235,FAST,26,FAST,2674,AVERAGE,0.16,AVERAGE,3510.0,0.35,4410.0,0.4,0.0,1.0,355,0.25,892.5,0.32,3510.0,0.88,6845.5,0.55,744.44,63,331.35,30,275.05,6,58.46,14,36.53,11,30.02,1,13.02,1,0.0,0,694.24,61
https://www.bcr.ro/ro/organizatii-publice-si-non-profit,desktop,0.95,1725,FAST,5,FAST,2286,FAST,0.01,FAST,820.0,0.94,1320.0,0.87,0.0,1.0,68,0.99,9.0,1.0,1390.7,0.87,1008.0,1.0,871.12,74,350.51,38,275.06,6,181.46,18,21.05,10,30.03,1,13.02,1,0.0,0,841.1,73
https://www.bcr.ro/ro/organizatii-publice-si-non-profit/creditare,mobile,0.75,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,2610.0,0.64,3360.0,0.68,0.0,1.0,199,0.67,383.0,0.7,3772.8,0.85,5501.5,0.71,641.16,63,335.38,32,172.98,4,58.43,14,36.54,11,24.81,1,13.02,1,0.0,0,596.19,61
https://www.bcr.ro/ro/organizatii-publice-si-non-profit/creditare,desktop,0.95,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,740.0,0.97,935.0,0.96,0.0,1.0,55,1.0,6.0,1.0,1916.0,0.66,915.0,1.0,637.61,69,350.35,36,172.98,4,55.41,17,21.04,10,24.81,1,13.02,1,0.0,0,612.8,68
https://www.bcr.ro/ro/organizatii-publice-si-non-profit/creditare/finantarea-investitiilor,mobile,0.56,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,3510.0,0.35,6489.5,0.09,0.069,0.96,409,0.17,341.0,0.75,4822.2,0.67,6174.0,0.63,819.91,76,399.85,42,275.06,6,69.18,15,36.54,11,26.26,1,13.02,1,0.0,0,773.49,74
https://www.bcr.ro/ro/organizatii-publice-si-non-profit/creditare/finantarea-investitiilor,desktop,0.82,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,820.0,0.94,1457.5,0.82,0.304,0.39,53,1.0,1.5,1.0,2018.2,0.62,980.0,1.0,853.78,88,437.25,51,275.06,6,81.15,19,21.04,10,26.25,1,13.02,1,0.0,0,827.52,87
https://www.bcr.ro/ro/organizatii-publice-si-non-profit/informatii-utile,mobile,0.65,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,3210.0,0.43,3960.0,0.51,0.027,1.0,218,0.61,528.5,0.56,3407.7,0.9,5693.5,0.69,689.89,65,333.98,33,218.76,5,58.43,14,36.54,11,29.17,1,13.02,1,0.0,0,640.57,63
